infinitiv,form,example,verb,english
gebären,Präsens 2. Pers.,Du …,gebärst,bear [to give birth]
geben,Präteritum 3. Pers.,Er …,gab,give (sth.)
geben,Partizip II,Er hat/ist …,gegeben,give (sth.)
geben,Präsens 2. Pers.,Du …,gibst,give (sth.)
geben,Konjunktiv II 3. Pers.,Wenn er doch …,gäbe,give (sth.)
gedeihen,Präteritum 3. Pers.,Er …,gedieh,thrive [also fig.]
gedeihen,Partizip II,Er hat/ist …,gediehen,thrive [also fig.]
gedeihen,Präsens 2. Pers.,Du …,gedeihst,thrive [also fig.]
gedeihen,Konjunktiv II 3. Pers.,Wenn er doch …,gediehe,thrive [also fig.]
gehen,Präteritum 3. Pers.,Er …,ging,go
gehen,Partizip II,Er hat/ist …,gegangen,go
gehen,Präsens 2. Pers.,Du …,gehst,go
gehen,Konjunktiv II 3. Pers.,Wenn er doch …,ginge,go
gelingen,Präteritum 3. Pers.,Er …,gelang,succeed
gelingen,Partizip II,Er hat/ist …,gelungen,succeed
gelingen,Präsens 3. Pers.,Es …,gelingt,succeed
gelingen,Konjunktiv II 3. Pers.,Wenn er doch …,gelänge,succeed
gelten,Präteritum 3. Pers.,Er …,galt,apply [pertain]
gelten,Partizip II,Er hat/ist …,gegolten,apply [pertain]
gelten,Präsens 2. Pers.,Du …,giltst,apply [pertain]
gelten,Konjunktiv II 3. Pers.,Wenn er doch …,gölte,apply [pertain]
genesen,Präteritum 3. Pers.,Er …,genas,recuperate
genesen,Partizip II,Er hat/ist …,genesen,recuperate
genesen,Präsens 2. Pers.,Du …,genest,recuperate
genesen,Konjunktiv II 3. Pers.,Wenn er doch …,genäse,recuperate
genesen,Präsens 2. Pers.,Du …,genesest,recuperate
geniessen,Präteritum 3. Pers.,Er …,genoss,enjoy/relish sth.
geniessen,Partizip II,Er hat/ist …,genossen,enjoy/relish sth.
geniessen,Präsens 2. Pers.,Du …,geniesst,enjoy/relish sth.
geniessen,Konjunktiv II 3. Pers.,Wenn er doch …,genösse,enjoy/relish sth.
geniessen,Präsens 2. Pers.,Du …,geniessest,enjoy/relish sth.
geschehen,Präteritum 3. Pers.,Er …,geschah,happen/befall
geschehen,Partizip II,Er hat/ist …,geschehen,happen/befall
geschehen,Präsens 3. Pers.,Es …,geschieht,happen/befall
geschehen,Konjunktiv II 3. Pers.,Wenn er doch …,geschähe,happen/befall
gewinnen,Präteritum 3. Pers.,Er …,gewann,gain sth. [obtain]
gewinnen,Partizip II,Er hat/ist …,gewonnen,gain sth. [obtain]
gewinnen,Präsens 2. Pers.,Du …,gewinnst,gain sth. [obtain]
gewinnen,Konjunktiv II 3. Pers.,Wenn er doch …,gewönne,gain sth. [obtain]
giessen,Präteritum 3. Pers.,Er …,goss,water
giessen,Partizip II,Er hat/ist …,gegossen,water
giessen,Präsens 2. Pers.,Du …,giesst,water
giessen,Konjunktiv II 3. Pers.,Wenn er doch …,gösse,water
giessen,Präsens 2. Pers.,Du …,giessest,water
gleichen,Präteritum 3. Pers.,Er …,glich,resemble
gleichen,Partizip II,Er hat/ist …,geglichen,resemble
gleichen,Präsens 2. Pers.,Du …,gleichst,resemble
gleichen,Konjunktiv II 3. Pers.,Wenn er doch …,gliche,resemble
gleiten,Präteritum 3. Pers.,Er …,glitt,slide
gleiten,Partizip II,Er hat/ist …,geglitten,slide
gleiten,Präsens 2. Pers.,Du …,gleitest,slide
gleiten,Konjunktiv II 3. Pers.,Wenn er doch …,glitte,slide
glimmen,Präteritum 3. Pers.,Er …,glomm,smoulder/glow
glimmen,Partizip II,Er hat/ist …,geglommen,smoulder/glow
glimmen,Präsens 2. Pers.,Du …,glimmst,smoulder/glow
glimmen,Konjunktiv II 3. Pers.,Wenn er doch …,glömme,smoulder/glow
glimmen,Präteritum 3. Pers.,Er …,glimmte,smoulder/glow
glimmen,Partizip II,Er hat/ist …,geglimmt,smoulder/glow
glimmen,Konjunktiv II 3. Pers.,Wenn er doch …,glimmte,smoulder/glow
graben,Präteritum 3. Pers.,Er …,grub,dig
graben,Partizip II,Er hat/ist …,gegraben,dig
graben,Präsens 2. Pers.,Du …,gräbst,dig
graben,Konjunktiv II 3. Pers.,Wenn er doch …,grübe,dig
greifen,Präteritum 3. Pers.,Er …,griff,grasp sth.
greifen,Partizip II,Er hat/ist …,gegriffen,grasp sth.
greifen,Präsens 2. Pers.,Du …,greifst,grasp sth.
greifen,Konjunktiv II 3. Pers.,Wenn er doch …,griffe,grasp sth.
haben,Präteritum 3. Pers.,Er …,hatte,[we they you] have
haben,Partizip II,Er hat/ist …,gehabt,[we they you] have
haben,Präsens 2. Pers.,Du …,hast,[we they you] have
haben,Konjunktiv II 3. Pers.,Wenn er doch …,hätte,[we they you] have
halten,Präteritum 3. Pers.,Er …,hielt,keep sth.
halten,Partizip II,Er hat/ist …,gehalten,keep sth.
halten,Präsens 2. Pers.,Du …,hältst,keep sth.
halten,Konjunktiv II 3. Pers.,Wenn er doch …,hielte,keep sth.
hängen (z.B. am Haken),Präteritum 3. Pers.,Er …,hing,
hängen (z.B. am Haken),Partizip II,Er hat/ist …,gehangen,
hängen (z.B. am Haken),Präsens 2. Pers.,Du …,hängst,
hängen (z.B. am Haken),Konjunktiv II 3. Pers.,Wenn er doch …,hinge,
hängen (aufhängen),Präteritum 3. Pers.,Er …,hängte,hang
hängen (aufhängen),Partizip II,Er hat/ist …,gehängt,hang
hängen (aufhängen),Präsens 2. Pers.,Du …,hängst,hang
hängen (aufhängen),Konjunktiv II 3. Pers.,Wenn er doch …,hängte,hang
hauen,Präteritum 3. Pers.,Er …,haute,chop sth. [hew]
hauen,Partizip II,Er hat/ist …,gehauen,chop sth. [hew]
hauen,Präsens 2. Pers.,Du …,haust,chop sth. [hew]
hauen,Konjunktiv II 3. Pers.,Wenn er doch …,haute,chop sth. [hew]
hauen,Präteritum 3. Pers.,Er … (mit dem Schwert),hieb,chop sth. [hew]
hauen,Konjunktiv II 3. Pers.,Wenn er doch …,hiebe,chop sth. [hew]
heben,Präteritum 3. Pers.,Er …,hob,hoist
heben,Partizip II,Er hat/ist …,gehoben,hoist
heben,Präsens 2. Pers.,Du …,hebst,hoist
heben,Konjunktiv II 3. Pers.,Wenn er doch …,höbe,hoist
heissen,Präteritum 3. Pers.,Er …,hiess,be called
heissen,Partizip II,Er hat/ist …,geheissen,be called
heissen,Präsens 2. Pers.,Du …,heisst,be called
heissen,Konjunktiv II 3. Pers.,Wenn er doch …,hiesse,be called
heissen,Präsens 2. Pers.,Du …,heissest,be called
helfen,Präteritum 3. Pers.,Er …,half,help
helfen,Partizip II,Er hat/ist …,geholfen,help
helfen,Präsens 2. Pers.,Du …,hilfst,help
helfen,Konjunktiv II 3. Pers.,Wenn er doch …,hülfe,help
