infinitiv,form,example,verb,english
weben (gehobene Sprache),Partizip II,Er hat/ist …,gewoben,move
weben (gehobene Sprache),Präsens 2. Pers.,Du …,webst,move
weben (gehobene Sprache),Konjunktiv II 3. Pers.,Wenn er doch …,wöbe,move
weben (Alltagssprache),Präteritum 3. Pers.,Er …,webte,weave
weben (Alltagssprache),Partizip II,Er hat/ist …,gewebt,weave
weben (Alltagssprache),Präsens 2. Pers.,Du …,webst,weave
weben (Alltagssprache),Konjunktiv II 3. Pers.,Wenn er doch …,webte,weave
weichen,Präteritum 3. Pers.,Er …,wich,yield [give way]
weichen,Partizip II,Er hat/ist …,gewichen,yield [give way]
weichen,Präsens 2. Pers.,Du …,weichst,yield [give way]
weichen,Konjunktiv II 3. Pers.,Wenn er doch …,wiche,yield [give way]
weisen,Präteritum 3. Pers.,Er …,wies,indicate
weisen,Partizip II,Er hat/ist …,gewiesen,indicate
weisen,Präsens 2. Pers.,Du …,weist,indicate
weisen,Konjunktiv II 3. Pers.,Wenn er doch …,wiese,indicate
weisen,Präsens 2. Pers.,Du …,weistest,indicate
wenden,Präteritum 3. Pers.,Er …,wandte,turn
wenden,Partizip II,Er hat/ist …,gewandt,turn
wenden,Präsens 2. Pers.,Du …,wendest,turn
wenden,Konjunktiv II 3. Pers.,Wenn er doch …,wendete,turn
wenden,Präteritum 3. Pers.,Er …,wendete,turn
wenden,Partizip II,Er hat/ist …,gewendet,turn
werben,Präteritum 3. Pers.,Er …,warb,advertise
werben,Partizip II,Er hat/ist …,geworben,advertise
werben,Präsens 2. Pers.,Du …,wirbst,advertise
werben,Konjunktiv II 3. Pers.,Wenn er doch …,würbe,advertise
werden,Präteritum 3. Pers.,Er …,wurde,[we they you] will
werden,Partizip II,Er hat/ist …,geworden,[we they you] will
werden,Präsens 2. Pers.,Du …,wirst,[we they you] will
werden,Konjunktiv II 3. Pers.,Wenn er doch …,würde,[we they you] will
werden,Präteritum 3. Pers.,Er … (dichterisch),ward,[we they you] will
werfen,Präteritum 3. Pers.,Er …,warf,throw
werfen,Partizip II,Er hat/ist …,geworfen,throw
werfen,Präsens 2. Pers.,Du …,wirfst,throw
werfen,Konjunktiv II 3. Pers.,Wenn er doch …,würfe,throw
wiegen (Gewicht haben),Präteritum 3. Pers.,Er …,wog,weigh
wiegen (Gewicht haben),Partizip II,Er hat/ist …,gewogen,weigh
wiegen (Gewicht haben),Präsens 2. Pers.,Du …,wiegst,weigh
wiegen (Gewicht haben),Konjunktiv II 3. Pers.,Wenn er doch …,wöge,weigh
winden,Präteritum 3. Pers.,Er …,wand,wind sth.
winden,Partizip II,Er hat/ist …,gewunden,wind sth.
winden,Präsens 2. Pers.,Du …,windest,wind sth.
winden,Konjunktiv II 3. Pers.,Wenn er doch …,wände,wind sth.
winken,Präteritum 3. Pers.,Er …,winkte,wave
winken,Partizip II,Er hat/ist …,gewinkt,wave
winken,Präsens 2. Pers.,Du …,winkst,wave
winken,Konjunktiv II 3. Pers.,Wenn er doch …,winkte,wave
wissen,Präteritum 3. Pers.,Er …,wusste,know (sth.)
wissen,Partizip II,Er hat/ist …,gewusst,know (sth.)
wissen,Präsens 2. Pers.,Du …,weisst,know (sth.)
wissen,Konjunktiv II 3. Pers.,Wenn er doch …,wüsste,know (sth.)
wollen,Präteritum 3. Pers.,Er …,wollte,[we they you] want
wollen,Partizip II,Er hat/ist …,gewollt,[we they you] want
wollen,Präsens 2. Pers.,Du …,willst,[we they you] want
wollen,Konjunktiv II 3. Pers.,Wenn er doch …,wollte,[we they you] want
ziehen,Präteritum 3. Pers.,Er …,zog,pull
ziehen,Partizip II,Er hat/ist …,gezogen,pull
ziehen,Präsens 2. Pers.,Du …,ziehst,pull
ziehen,Konjunktiv II 3. Pers.,Wenn er doch …,zöge,pull
zwingen,Präteritum 3. Pers.,Er …,zwang,force
zwingen,Partizip II,Er hat/ist …,gezwungen,force
zwingen,Präsens 2. Pers.,Du …,zwingst,force
zwingen,Konjunktiv II 3. Pers.,Wenn er doch …,zwänge,force
